,0,1,2,3
536,538,H. Traorè | 22 | CAM,-,
537,539,C. Richards | 22 | CB,-,
538,540,F. Onyeka | 24 | CM,-,
539,541,S. Kalajdzic | 25 | FW,-,
540,542,M. Djenepo | 24 | FB,-,
541,543,S. Baptiste | 24 | CM,-,
542,544,N. Collins | 21 | CB,-,
543,545,T. Francois | 22 | WAM,-,
544,546,C. Drameh | 21 | FB,-,
545,547,C. Archer | 21 | CAM,-,
546,548,A. Robertson | 19 | N/A,-,
547,549,H. Dervisoglu | 23 | WAM,-,
548,550,B. Gil | 21 | CAM,-,
549,551,S. Gómez | 22 | FB,-,
550,552,I. Meslier | 22 | GK,-,
551,553,A. Sambi Lokonga | 23 | CM,-,
552,554,A. Sambi Lokonga | 23 | CM,-,
553,555,G. Biancone | 22 | CB,-,
554,556,C. Doucouré | 22 | CM,-,
555,557,M. Damsgaard | 22 | CM,-,
556,558,J. Furlong | 20 | N/A,-,
557,559,H. Ashby | 21 | FB,-,
558,560,H. Ashby | 21 | FB,-,
559,561,T. Livramento | 20 | FB,-,
560,562,J. Sarmiento | 20 | CAM,-,
561,563,W. Dennis | 22 | GK,-,
562,564,W. Fofana | 22 | CB,-,
563,565,S. van den Berg | 21 | CB,-,
564,566,O. Offiah | 20 | FB,-,
565,567,M. Kovár | 22 | GK,-,
566,568,E. Wady | 20 | GK,-,
567,569,R. Finnigan | 19 | CM,-,
568,570,I. Samuels | 19 | FB,-,
569,571,J. Anang | 22 | GK,-,
570,572,J. Wilson-Esbrand | 20 | FB,-,
571,573,J. Zemura | 23 | FB,-,
572,574,E. Fernández | 21 | CM,-,
573,575,E. Turns | 20 | CB,-,
574,576,H. White | 21 | CAM,-,
575,577,H. Griffiths | 19 | N/A,-,
576,578,A. Elanga | 20 | WAM,-,
577,579,G. Shelvey | 21 | GK,-,
578,580,M. Salisu | 23 | CB,-,
579,581,M. Ebiowei | 19 | WAM,-,
580,582,L. Plange | 20 | FW,-,
581,583,F. Stevens | 19 | FB,-,
582,584,G. Bazunu | 20 | GK,-,
583,585,L. Colwill | 19 | CB,-,
584,586,C. Plain | 21 | GK,-,
585,587,E. Pollock | 20 | N/A,-,
586,588,C. Saydee | 20 | FW,-,
587,589,N. Butler-Oyedeji | 19 | N/A,-,
588,590,C. Campbell | 20 | WAM,-,
